Dates	,,COUNT-None-US,US	MEAN,MEAN,NEG-None-US,US	MEAN,MEAN,SUM-None-US,US	SUM,MEAN,SUM-None-US,US	MEAN,SUM,NEG-None-US,US	SUM,MEAN,NEG-None-US,US	SUM,SUM,NEG-None-US,US	MEAN,SUM,SUM-None-US,US	SUM,SUM,SUM-None-US,US
2001-06-14 00:00:00+00:00	4	0.489583333333	-0.358333333333	-2.0	1.95833333333	2.75	11.0	-1.43333333333	-8.0
2001-06-15 00:00:00+00:00	1	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0
2001-06-18 00:00:00+00:00	5	0.371428571429	0.216666666667	-0.4	1.85714285714	3.6	18.0	1.08333333333	-2.0
2001-06-19 00:00:00+00:00	4	0.25	0.5	0.5	1.0	0.25	1.0	2.0	2.0
2001-06-21 00:00:00+00:00	4	0.400755494505	0.167696886447	1.6875	1.60302197802	6.4375	25.75	0.670787545788	6.75
2001-06-22 00:00:00+00:00	3	0.166666666667	-0.166666666667	-0.333333333333	0.5	0.333333333333	1.0	-0.5	-1.0
2001-06-23 00:00:00+00:00	2	0.2	-0.1	-0.5	0.4	1.0	2.0	-0.2	-1.0
2001-06-24 00:00:00+00:00	1	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0
2001-06-25 00:00:00+00:00	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2001-06-26 00:00:00+00:00	3	1.66666666667	-1.66666666667	-1.66666666667	5.0	1.66666666667	5.0	-5.0	-5.0
2001-06-27 00:00:00+00:00	2	0.0	0.5	1.0	0.0	0.0	0.0	1.0	2.0
2001-06-28 00:00:00+00:00	4	0.720238095238	-0.333333333333	2.125	2.88095238095	2.5	10.0	-1.33333333333	8.5
2001-06-29 00:00:00+00:00	3	0.0882352941176	-0.196078431373	-0.833333333333	0.264705882353	1.5	4.5	-0.588235294118	-2.5
2001-06-30 00:00:00+00:00	2	1.08333333333	-0.416666666667	-1.0	2.16666666667	4.0	8.0	-0.833333333333	-2.0
2001-07-01 00:00:00+00:00	1	1.0	-1.0	-3.0	1.0	3.0	3.0	-1.0	-3.0
2001-07-02 00:00:00+00:00	4	0.152777777778	0.128472222222	1.375	0.611111111111	2.125	8.5	0.513888888889	5.5
2001-07-04 00:00:00+00:00	3	0.416666666667	-0.0416666666667	-0.166666666667	1.25	0.666666666667	2.0	-0.125	-0.5
2001-07-06 00:00:00+00:00	5	0.182352941176	-0.182352941176	-1.5	0.911764705882	1.5	7.5	-0.911764705882	-7.5
2001-07-07 00:00:00+00:00	4	0.161458333333	-0.0364583333333	0.875	0.645833333333	1.5	6.0	-0.145833333333	3.5
2001-07-08 00:00:00+00:00	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2001-07-09 00:00:00+00:00	5	0.2	0.533333333333	1.2	1.0	0.2	1.0	2.66666666667	6.0
2001-07-10 00:00:00+00:00	3	0.472222222222	-0.0138888888889	-0.666666666667	1.41666666667	2.66666666667	8.0	-0.0416666666667	-2.0
2001-07-11 00:00:00+00:00	1	0.25	0.25	1.0	0.25	1.0	1.0	0.25	1.0
2001-07-12 00:00:00+00:00	3	0.037037037037	0.222222222222	2.0	0.111111111111	0.333333333333	1.0	0.666666666667	6.0
2001-07-13 00:00:00+00:00	3	0.333333333333	-0.333333333333	-0.666666666667	1.0	0.666666666667	2.0	-1.0	-2.0
2001-07-14 00:00:00+00:00	4	0.416666666667	-0.0833333333333	-0.25	1.66666666667	0.75	3.0	-0.333333333333	-1.0
2001-07-15 00:00:00+00:00	2	0.0	-0.222222222222	-2.0	0.0	0.0	0.0	-0.444444444444	-4.0
2001-07-16 00:00:00+00:00	3	0.333333333333	0.333333333333	0.333333333333	1.0	0.333333333333	1.0	1.0	1.0
2001-07-17 00:00:00+00:00	2	0.0	1.0	1.0	0.0	0.0	0.0	2.0	2.0
2001-07-18 00:00:00+00:00	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2001-07-19 00:00:00+00:00	3	0.579365079365	-0.142857142857	1.66666666667	1.7380952381	2.0	6.0	-0.428571428571	5.0
2001-07-20 00:00:00+00:00	6	0.666666666667	-0.14417989418	1.33333333333	4.0	3.16666666667	19.0	-0.865079365079	8.0
2001-07-21 00:00:00+00:00	2	0.55	-0.15	-1.5	1.1	5.5	11.0	-0.3	-3.0
2001-07-22 00:00:00+00:00	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2001-07-23 00:00:00+00:00	3	0.248366013072	-0.117647058824	-6.0	0.745098039216	12.6666666667	38.0	-0.352941176471	-18.0
2001-07-24 00:00:00+00:00	2	0.694444444444	-0.555555555556	-8.0	1.38888888889	7.5	15.0	-1.11111111111	-16.0
2001-07-25 00:00:00+00:00	5	0.761904761905	-0.0357142857143	-0.7	3.80952380952	2.9	14.5	-0.178571428571	-3.5
2001-07-26 00:00:00+00:00	8	0.414423076923	0.0951923076923	1.0	3.31538461538	1.8125	14.5	0.761538461538	8.0
2001-07-27 00:00:00+00:00	6	0.279931972789	-0.0260204081633	3.16666666667	1.67959183673	8.5	51.0	-0.15612244898	19.0
2001-07-28 00:00:00+00:00	2	0.285714285714	-0.0714285714286	-1.0	0.571428571429	4.0	8.0	-0.142857142857	-2.0
2001-07-29 00:00:00+00:00	1	0.0	1.0	8.0	0.0	0.0	0.0	1.0	8.0
2001-07-30 00:00:00+00:00	2	0.4	0.333333333333	9.0	0.8	4.5	9.0	0.666666666667	18.0
2001-07-31 00:00:00+00:00	3	0.1	-0.133333333333	-1.33333333333	0.3	1.0	3.0	-0.4	-4.0
